inicio,leia,escreva,id,se,repita,fim,varfim,inteiro,real,literal,vir,pt_v,num,rcb,opm,fimse,fimrepita,ab_p,fc_p,entao,opr,varinicio,lit,$
S2,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,Acc
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S4,erro,erro
erro,S22,S25,S32,S50,S70,S74,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,S7,S9,S10,S11,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,R3,R3,R3,R3,R3,R3,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,S7,S9,S10,S11,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S12,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,S13,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,R9,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,R10,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,R11,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,R5,R5,R5,R5,R5,R5,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S15,R8,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S17,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,S13,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R7,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,R6,R6,R6,R6,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,R4,R4,R4,R4,R4,R4,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R2
erro,S22,S25,S32,S50,S70,S74,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R12
erro,erro,erro,S23,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S24,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
erro,R13,R13,R13,R13,R13,R13,erro,erro,erro,erro,erro,erro,erro,erro,erro,R13,R13,erro,erro,erro,erro,erro,erro,erro
erro,erro,erro,S30,erro,erro,erro,erro,erro,erro,erro,erro,erro,S29,erro,erro,erro,erro,erro,erro,erro,erro,erro,S28,erro
erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S27,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
