P,V,A,ES,CMD,COND,CAB,R,CABR,LV,D,TIPO,L,ARG,LD,OPRD,CP,EXP_R,CPR
1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,
,,19,20,,41,42,59,61,,,,,,,,,,
,,,,,,,,,5,6,8,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,6,8,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
21,,,20,31,41,42,59,61,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,26,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,58,20,31,41,42,59,61,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,34,36,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,38,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,75,41,,41,42,59,61,,,,,,,,,,
,,,44,46,48,42,,,,,,,,,,43,,
,,,,,,,,,,,,,,,,,,
,,,46,,48,42,,,,,,,,,,45,,
,,,,,,,,,,,,,,,,,,
,,,44,46,48,42,,,,,,,,,,47,,
,,,,,,,,,,,,,,,,,,
,,,44,46,48,42,,,,,,,,,,49,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,55,,52,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,76,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,60,20,61,41,42,59,61,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,63,65,66,42,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,,,
,,,63,65,66,42,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,
,,,63,65,66,42,,,,,,,,,,,,68
,,,63,65,66,42,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,54,,72,
